SEP=;;;;elev agl (ft);lgt;lgt hr;elev agl (m)
EFINOB 16951;Mast;62.11807426;23.62413245;397;FLG R;H24;121
EFINOB 17283;Mast;66.39613905;24.61673588;329;F R;HN;100
EFINOB 18949;Mast;60.83373762;23.60276831;345;F R;HN;105
EFINOB 19803;Mast;60.99854353;26.26118961;335;F R;HN;102
EFINOB 20345;Mast;62.95265521;22.95666866;329;F R;HN;100
EFINOB 20605;Mast;60.62726595;27.69133744;335;F R;HN;102
EFINOB 20741;Mast;68.40965743;26.44674259;329;F R;HN;100
EFINOB 21329;Mast;61.51677874;21.78001444;414;FLG R;H24;126
EFINOB 21688;Mast;61.04942713;28.26351011;414;FLG R;H24;126
EFINOB 22057;Mast;61.49103786;23.57493309;384;F R;HN;117
EFINOB 22303;Mast;62.83509214;23.93566425;394;F R;HN;120
EFINOB 23122;Mast;65.18381944;26.24472047;345;F R;HN;105
EFINOB 23243;Mast;64.68330817;24.53427724;335;F R;HN;102
EFINOB 23342;Mast;62.58739407;29.81267627;394;F R;HN;120
EFINOB 23787;Mast;60.52627892;26.99909138;480;FLG R;H24;146
EFINOB 23811;Mast;60.95117854;24.48598058;394;F R;HN;120
EFINOB 23814;Mast;66.52284396;23.86495145;329;F R;HN;100
EFINOB 23853;Mast;60.96170079;25.75101758;476;FLG R;H24;145
EFINOB 24340;Mast;60.42689778;23.14157747;407;FLG R;H24;124
EFINOB 24534;Mast;62.91922145;21.59722318;329;F R;HN;100
EFINOB 24612;Mast;60.42361543;25.6721896;411;FLG R;HN;125
EFINOB 25304;Mast;60.19848338;21.36761835;329;F R;HN;100
EFINOB 25577;Mast;66.3163042;23.72014981;329;F R;HN;100
EFINOB 25601;Mast;63.83274223;23.13836158;378;F R;HN;115
EFINOB 25606;Mast;62.21830639;21.51906403;394;F R;HN;120
EFINOB 25780;Mast;60.80680564;21.48010918;329;F R;HN;100
EFINOB 26038;Mast;60.56692865;24.99110328;381;F R;HN;116
EFINOB 26074;Mast;60.6448983;24.87144064;355;F R;HN;108
EFINOB 27245;Mast;61.06061363;28.3147666;420;F R;HN;128
EFINOB 27246;Mast;65.18472377;26.25059477;329;F R;HN;100
EFINOB 27818;Mast;62.00338205;23.06358407;335;F R;HN;102
EFINOB 27909;Mast;61.6255104;27.25057834;388;F R;HN;118
EFINOB 28026;Mast;63.54830161;29.09963689;412;F R;HN;126
EFINOB 28174;Mast;61.92151966;27.63161642;329;F R;HN;100
EFINOB 28213;Mast;64.98675986;25.48215775;424;FLG R;HN;129
EFINOB 28405;Mast;61.84741623;24.29476627;427;FLG R;HN;130
EFINOB 28426;Mast;60.84088532;23.07059392;329;F R;HN;100
EFINOB 28493;Mast;64.88369452;24.83068463;329;F R;HN;100
EFINOB 28629;Mast;61.80010676;22.37258139;375;F R;HN;114
EFINOB 28633;Mast;61.18164714;26.00779848;407;FLG W;H24;124
EFINOB 28635;Mast;61.68638938;24.34238397;375;F R;HN;114
EFINOB 28636;Mast;61.34791209;25.27925231;394;F R;HN;120
EFINOB 28637;Mast;62.26393664;23.69533317;407;FLG W;H24;124
EFINOB 28642;Mast;61.19842329;28.75972419;342;F R;HN;104
EFINOB 28671;Mast;63.95727158;24.99608975;342;F R;HN;104
EFINOB 28682;Mast;61.87559485;25.20293894;329;F R;HN;100
EFINOB 28703;Mast;61.42171386;26.86382023;447;FLG W;H24;136
